tk_pips,ls_pips,gain_rate
0.11,0.05,6.160524094060842e-07
0.11,0.1,3.1964826116215347e-07
0.11,0.15000000000000002,5.909201878853918e-06
0.11,0.2,2.243188698986833e-05
0.11,0.25,0.00032745171922668524
0.11,0.30000000000000004,0.0003205688349220606
0.11,0.35000000000000003,0.0020975615239391975
0.11,0.4,0.0020962796237745385
0.11,0.45,0.0025193431177713767
0.11,0.5,0.003900322391868586
0.11,0.55,0.012504707579992077
0.11,0.6000000000000001,0.007326684604734938
0.11,0.65,0.00803466351249209
0.11,0.7000000000000001,0.01940902188064989
0.11,0.75,0.020024657012353713
0.11,0.8,0.02438123045067923
0.11,0.8500000000000001,0.018058736880612228
0.11,0.9,0.014378666959993186
0.11,0.9500000000000001,0.022999780270456394
0.115,0.0,0.010958142680668753
0.115,0.05,1.7039455108100174e-06
0.115,0.1,4.207149218241663e-07
0.115,0.15000000000000002,8.474515524767493e-06
0.115,0.2,3.1028138763046547e-05
0.115,0.25,0.0005550209667505434
0.115,0.30000000000000004,0.00040958804206372057
0.115,0.35000000000000003,0.0024569399827493992
0.115,0.4,0.002341645391519634
0.115,0.45,0.0020975457617609197
0.115,0.5,0.004795828829762585
0.115,0.55,0.017221658497854186
0.115,0.6000000000000001,0.00945606741346485
0.115,0.65,0.01041948443297362
0.115,0.7000000000000001,0.025013434139205783
0.115,0.75,0.021805868603070436
0.115,0.8,0.032402875657157944
0.115,0.8500000000000001,0.021919202749845944
0.115,0.9,0.018174358215464457
0.115,0.9500000000000001,0.029475176874943082
0.12,0.0,0.012104844358515297
0.12,0.05,5.435356369396636e-06
0.12,0.1,7.386319090132383e-07
0.12,0.15000000000000002,1.7002445390984603e-05
0.12,0.2,6.239461771206475e-05
0.12,0.25,0.000907423722050397
0.12,0.30000000000000004,0.0013411559324306148
0.12,0.35000000000000003,0.0053800691632785854
0.12,0.4,0.004638152258431528
0.12,0.45,0.004903069425468217
0.12,0.5,0.010196923470907733
0.12,0.55,0.028217219539136244
0.12,0.6000000000000001,0.013588234153912334
0.12,0.65,0.014169820569260153
0.12,0.7000000000000001,0.029462000483454306
0.12,0.75,0.02710418227263725
0.12,0.8,0.040474571145180264
0.12,0.8500000000000001,0.023275901211617843
0.12,0.9,0.018053579561641143
0.12,0.9500000000000001,0.029341730623329867
0.125,0.0,0.012528805427375032
0.125,0.05,8.46319009456985e-06
0.125,0.1,1.9677108516889396e-06
0.125,0.15000000000000002,2.0490397403731683e-05
0.125,0.2,7.733662080215799e-05
0.125,0.25,0.0008564179267115586
0.125,0.30000000000000004,0.001206849040155457
0.125,0.35000000000000003,0.00408762708668533
0.125,0.4,0.003495557378858601
0.125,0.45,0.002915503692177849
0.125,0.5,0.004882127125405081
0.125,0.55,0.01903920087962608
0.125,0.6000000000000001,0.010676151792627441
0.125,0.65,0.013148131221363038
0.125,0.7000000000000001,0.030099343815596476
0.125,0.75,0.028219556895212532
0.125,0.8,0.03534279897876462
0.125,0.8500000000000001,0.02095474993701955
