date,time,open,high,low,close,volume,moving_60_ave,deviation_rate,rise_rate
2022.04.18,03:00,126.614,126.788,126.558,126.564,8042,125.96463333333334,1.00475821387961,1
2022.04.18,04:00,126.562,126.64,126.237,126.462,10049,125.97510000000001,1.0038650495216912,1
2022.04.18,05:00,126.461,126.616,126.445,126.592,4096,125.98958333333333,1.0047814799503927,1
2022.04.18,06:00,126.592,126.694,126.562,126.668,4148,126.00846666666666,1.0052340398290698,1
2022.04.18,07:00,126.668,126.684,126.602,126.642,3737,126.02593333333333,1.0048884118559724,1
2022.04.18,08:00,126.643,126.67,126.581,126.646,3384,126.04339999999999,1.0047808929305304,1
2022.04.18,09:00,126.647,126.671,126.592,126.621,4040,126.06018333333331,1.0044488009761476,1
2022.04.18,10:00,126.624,126.654,126.448,126.637,5521,126.07618333333332,1.0044482363904048,1
2022.04.18,11:00,126.637,126.692,126.574,126.63,4625,126.09251666666665,1.004262610879234,1
2022.04.18,12:00,126.631,126.643,126.571,126.619,3270,126.10834999999999,1.0040492957048444,1
2022.04.18,13:00,126.62,126.63,126.599,126.612,3902,126.12529999999998,1.0038588609898254,1
2022.04.18,14:00,126.612,126.621,126.534,126.548,4771,126.14503333333332,1.0031944711259606,1
2022.04.18,15:00,126.547,126.666,126.435,126.523,8272,126.16196666666664,1.0028616653883278,1
2022.04.18,16:00,126.523,126.595,126.465,126.587,8519,126.1838,1.0031953388628334,1
2022.04.18,17:00,126.588,126.673,126.541,126.652,6966,126.20568333333334,1.0035364228842838,1
2022.04.18,18:00,126.653,126.81,126.641,126.775,5346,126.23156666666665,1.0043050510081077,1
2022.04.18,19:00,126.775,126.967,126.759,126.966,4586,126.25980000000001,1.0055932291988423,1
2022.04.18,20:00,126.966,126.966,126.861,126.941,4074,126.2852,1.005193007573334,1
2022.04.18,21:00,126.944,126.981,126.889,126.979,3618,126.31353333333333,1.0052683718767532,1
2022.04.18,22:00,126.977,126.978,126.919,126.941,3596,126.34034999999999,1.0047542214344034,1
2022.04.18,23:00,126.941,126.997,126.936,126.982,1871,126.36695,1.0048671745262507,1
2022.04.19,00:00,126.98,127.106,126.966,127.081,1270,126.39536666666667,1.0054245131875879,1
2022.04.19,01:00,127.084,127.125,127.013,127.088,4735,126.42595,1.0052366622516975,1
2022.04.19,02:00,127.087,127.223,127.066,127.143,4043,126.45586666666668,1.0054337797956387,1
2022.04.19,03:00,127.144,127.36,126.986,127.311,9242,126.48553333333332,1.0065261745348482,1
2022.04.19,04:00,127.311,127.547,127.258,127.506,9546,126.51153333333333,1.0078606798958514,1
2022.04.19,05:00,127.509,127.806,127.458,127.732,7565,126.54221666666668,1.009402264040209,1
2022.04.19,06:00,127.732,127.971,127.611,127.92,8348,126.57548333333334,1.0106222518868517,1
2022.04.19,07:00,127.919,128.233,127.837,128.145,8300,126.61236666666669,1.012104926032765,1
2022.04.19,08:00,128.145,128.215,128.064,128.166,6917,126.64906666666667,1.0119774537093575,1
2022.04.19,09:00,128.166,128.324,128.118,128.219,8927,126.68625000000002,1.0120987873585332,1
2022.04.19,10:00,128.22,128.227,127.779,128.063,13687,126.72158333333336,1.0105855421892742,1
2022.04.19,11:00,128.064,128.459,128.044,128.309,10100,126.76223333333334,1.0122021096188742,1
2022.04.19,12:00,128.309,128.443,128.283,128.342,7412,126.80278333333332,1.0121386662516743,1
2022.04.19,13:00,128.342,128.388,128.206,128.34,7521,126.84255,1.0118055810136268,1
2022.04.19,14:00,128.341,128.405,128.15,128.197,6577,126.8763,1.0104093514706844,1
2022.04.19,15:00,128.197,128.496,128.069,128.461,10877,126.91221666666667,1.012203579560833,1
2022.04.19,16:00,128.461,128.749,128.451,128.675,13640,126.94971666666667,1.0135902889634911,1
2022.04.19,17:00,128.676,128.846,128.576,128.831,10609,126.98953333333336,1.0145009326227934,1
2022.04.19,18:00,128.83,128.913,128.503,128.545,8795,127.02588333333334,1.0119591112205084,1
2022.04.19,19:00,128.547,128.8,128.547,128.753,5703,127.0655,1.0132805521561714,1
